knee_rad,knee_deg,displacement_x_m,displacement_z_m,distance_m
-0.000000478,-0.000027,-0.000058381,-0.710710012,0.710710015
0.022651611,1.297842,-0.000059342,-0.707615046,0.707615048
0.045303700,2.595711,-0.000077323,-0.704429212,0.704429217
0.067955788,3.893580,-0.000110586,-0.701153228,0.701153236
0.090607877,5.191449,-0.000157579,-0.697787185,0.697787202
0.113259966,6.489318,-0.000216758,-0.694331552,0.694331585
0.135912055,7.787187,-0.000286640,-0.690786957,0.690787016
0.158564144,9.085056,-0.000365857,-0.687153680,0.687153777
0.181216232,10.382925,-0.000453080,-0.683432295,0.683432445
0.203868321,11.680794,-0.000547066,-0.679623129,0.679623349
0.226520410,12.978663,-0.000646617,-0.675726820,0.675727129
0.249172499,14.276533,-0.000750612,-0.671743827,0.671744247
0.271824588,15.574402,-0.000857991,-0.667674631,0.667675182
0.294476677,16.872271,-0.000967750,-0.663519783,0.663520489
0.317128765,18.170140,-0.001078947,-0.659279748,0.659280631
0.339780854,19.468009,-0.001190694,-0.654955156,0.654956238
0.362432943,20.765878,-0.001302162,-0.650546501,0.650547804
0.385085032,22.063747,-0.001412574,-0.646054402,0.646055947
0.407737121,23.361616,-0.001521209,-0.641479395,0.641481199
0.430389209,24.659485,-0.001627396,-0.636822110,0.636824190
0.453041298,25.957354,-0.001730512,-0.632083079,0.632085448
0.475693387,27.255223,-0.001829990,-0.627262960,0.627265630
0.498345476,28.553093,-0.001925306,-0.622362378,0.622365356
0.520997565,29.850962,-0.002015987,-0.617381959,0.617385250
0.543649653,31.148831,-0.002101604,-0.612322375,0.612325981
0.566301742,32.446700,-0.002181767,-0.607184185,0.607188105
0.588953831,33.744569,-0.002256142,-0.601968144,0.601972372
0.611605920,35.042438,-0.002324427,-0.596674875,0.596679403
0.634258009,36.340307,-0.002386370,-0.591305109,0.591309924
0.656910098,37.638176,-0.002441748,-0.585859475,0.585864564
0.679562186,38.936045,-0.002490387,-0.580338693,0.580344036
0.702214275,40.233914,-0.002532152,-0.574743519,0.574749097
0.724866364,41.531783,-0.002566936,-0.569074626,0.569080415
0.747518453,42.829652,-0.002594673,-0.563332750,0.563338725
0.770170542,44.127522,-0.002615335,-0.557518657,0.557524791
0.792822630,45.425391,-0.002628920,-0.551633066,0.551639331
0.815474719,46.723260,-0.002635462,-0.545676731,0.545683095
0.838126808,48.021129,-0.002635032,-0.539650456,0.539656889
0.860778897,49.318998,-0.002627719,-0.533554959,0.533561430
0.883430986,50.616867,-0.002613650,-0.527391064,0.527397540
0.906083074,51.914736,-0.002592975,-0.521159526,0.521165976
0.928735163,53.212605,-0.002565876,-0.514861184,0.514867578
0.951387252,54.510474,-0.002532554,-0.508496822,0.508503128
0.974039341,55.808343,-0.002493235,-0.502067258,0.502073448
0.996691430,57.106212,-0.002448171,-0.495573323,0.495579370
1.019343519,58.404081,-0.002397632,-0.489015844,0.489021722
1.041995607,59.701951,-0.002341908,-0.482395646,0.482401330
1.064647696,60.999820,-0.002281310,-0.475713586,0.475719056
1.087299785,62.297689,-0.002216165,-0.468970537,0.468975773
1.109951874,63.595558,-0.002146815,-0.462167338,0.462172324
1.132603963,64.893427,-0.002073619,-0.455304867,0.455309589
1.155256051,66.191296,-0.001996945,-0.448383989,0.448388436
1.177908140,67.489165,-0.001917178,-0.441405611,0.441409774
1.200560229,68.787034,-0.001834709,-0.434370612,0.434374487
1.223212318,70.084903,-0.001749939,-0.427279899,0.427283483
1.245864407,71.382772,-0.001663278,-0.420134373,0.420137666
1.268516495,72.680641,-0.001575139,-0.412934949,0.412937953
1.291168584,73.978511,-0.001485940,-0.405682555,0.405685276
1.313820673,75.276380,-0.001396103,-0.398378103,0.398380550
1.336472762,76.574249,-0.001306049,-0.391022549,0.391024730
1.359124851,77.872118,-0.001216199,-0.383616810,0.383618738
1.381776939,79.169987,-0.001126972,-0.376161853,0.376163542
1.404429028,80.467856,-0.001038782,-0.368658630,0.368660093
1.427081117,81.765725,-0.000952039,-0.361108098,0.361109353
1.449733206,83.063594,-0.000867143,-0.353511227,0.353512291
