pos,force_J
0.12983420,-5.27606707
0.13983420,-5.12218015
0.14983420,-4.98122363
0.15983420,-4.85186249
0.16983420,-4.73294840
0.17983420,-4.62348856
0.18983420,-4.52262069
0.19983420,-4.42959265
0.20983420,-4.34374580
0.21983420,-4.26450130
0.22983420,-4.19134875
0.23983420,-4.12383670
0.24983420,-4.06156474
0.25983420,-4.00417682
0.26983420,-3.95135556
0.27983420,-3.90281749
0.28983420,-3.85830889
0.29983420,-3.81760228
0.30983420,-3.78049336
0.31983420,-3.74679843
0.32983420,-3.71635202
0.33983420,-3.68900496
0.34983420,-3.66462261
0.35983420,-3.64308329
0.36983420,-3.62427697
0.37983420,-3.60810407
0.38983420,-3.59447432
0.39983420,-3.58330588
0.40983420,-3.57452448
0.41983420,-3.56806261
0.42983420,-3.56385886
0.43983420,-3.56185730
0.44983420,-3.56200693
0.45983420,-3.56426116
0.46983420,-3.56857740
0.47983420,-3.57491661
0.48983420,-3.58324305
0.49983420,-3.59352391
0.50983420,-3.60572921
0.51983420,-3.61983157
0.52983420,-3.63580628
0.53983420,-3.65363134
0.54983420,-3.67328777
0.55983420,-3.69476010
0.56983420,-3.71803724
0.57983420,-3.74311371
0.58983420,-3.76999165
0.59983420,-3.79868364
0.60983420,-3.82921708
0.61983420,-3.86164059
0.62983420,-3.89603395
0.63983420,-3.93252319
0.64983420,-3.97130475
0.65983420,-4.01268453
0.66983420,-4.05714390
0.67983420,-4.10545581
0.68983420,-4.15890073
0.69983420,-4.21969714
0.70983420,-4.29194118
